Date,AAPL
2023-03-15,150.6664581298828
2023-03-16,153.48301696777344
2023-03-17,152.6459197998047
2023-03-20,155.0094757080078
2023-03-21,156.86093139648438
2023-03-22,155.43295288085938
2023-03-23,156.51625061035156
2023-03-24,157.81622314453125
2023-03-27,155.87608337402344
2023-03-28,155.25567626953125
2023-03-29,158.3282928466797
2023-03-30,159.89414978027344
2023-03-31,162.39556884765625
2023-04-03,163.64627075195312
2023-04-04,163.1144561767578
2023-04-05,161.27284240722656
2023-04-06,162.15921020507812
2023-04-10,159.56912231445312
2023-04-11,158.3578338623047
2023-04-12,157.66845703125
2023-04-13,163.0455322265625
2023-04-14,162.7008819580078
2023-04-17,162.72055053710938
2023-04-18,163.94171142578125
2023-04-19,165.08413696289062
2023-04-20,164.11898803710938
2023-04-21,162.51373291015625
2023-04-24,162.81906127929688
2023-04-25,161.28273010253906
2023-04-26,161.27284240722656
2023-04-27,165.85226440429688
2023-04-28,167.10296630859375
2023-05-01,167.0143280029297
2023-05-02,165.9802703857422
2023-05-03,164.90684509277344
2023-05-04,163.27207946777344
2023-05-05,170.93389892578125
2023-05-08,170.86492919921875
2023-05-09,169.16123962402344
2023-05-10,170.9240264892578
2023-05-11,171.11114501953125
2023-05-12,170.18414306640625
2023-05-15,169.69107055664062
2023-05-16,169.69107055664062
2023-05-17,170.30252075195312
2023-05-18,172.62985229492188
2023-05-19,172.73834228515625
2023-05-22,171.79164123535156
2023-05-23,169.18812561035156
2023-05-24,169.46424865722656
2023-05-25,170.5983428955078
2023-05-26,173.004638671875
2023-05-30,174.84877014160156
2023-05-31,174.79945373535156
2023-06-01,177.60020446777344
2023-06-02,178.44830322265625
2023-06-05,177.0972137451172
2023-06-06,176.73236083984375
2023-06-07,175.36158752441406
2023-06-08,178.0735626220703
2023-06-09,178.45819091796875
2023-06-12,181.24903869628906
2023-06-13,180.77566528320312
2023-06-14,181.40682983398438
2023-06-15,183.43832397460938
2023-06-16,182.3634033203125
2023-06-20,182.45217895507812
2023-06-21,181.4167022705078
2023-06-22,184.4146728515625
